player_id,name,team,pos,proj_points,tier,bye,injury_risk,base_custom_points,estimated_bonus_points,adp
EX001,Example RB1,T01,RB,315.0,1,5,0.025,315.0,0.0,1
EX049,Example WR1,T01,WR,325.0,1,5,0.025,325.0,0.0,2
EX002,Example RB2,T02,RB,312.2,1,6,0.05,312.2,0.0,3
EX050,Example WR2,T02,WR,322.4,1,6,0.05,322.4,0.0,4
EX051,Example WR3,T03,WR,319.8,1,7,0.075,319.8,0.0,5
EX003,Example RB3,T03,RB,309.4,1,7,0.075,309.4,0.0,6
EX052,Example WR4,T04,WR,317.2,1,8,0.1,317.2,0.0,7
EX004,Example RB4,T04,RB,306.6,1,8,0.1,306.6,0.0,8
EX053,Example WR5,T05,WR,314.6,1,9,0.125,314.6,0.0,9
EX005,Example RB5,T05,RB,303.8,1,9,0.125,303.8,0.0,10
EX054,Example WR6,T06,WR,312.0,1,10,0.15,312.0,0.0,11
EX006,Example RB6,T06,RB,301.0,1,10,0.15,301.0,0.0,12
EX055,Example WR7,T07,WR,309.4,2,11,0.0,309.4,0.0,13
EX109,Example QB1,T01,QB,405.0,1,5,0.025,405.0,0.0,14
EX007,Example RB7,T07,RB,298.2,2,11,0.0,298.2,0.0,15
EX056,Example WR8,T08,WR,306.8,2,12,0.025,306.8,0.0,16
EX008,Example RB8,T08,RB,295.4,2,12,0.025,295.4,0.0,17
EX057,Example WR9,T09,WR,304.2,2,13,0.05,304.2,0.0,18
EX133,Example TE1,T01,TE,245.0,1,5,0.025,245.0,0.0,19
EX058,Example WR10,T10,WR,301.6,2,14,0.075,301.6,0.0,20
EX009,Example RB9,T09,RB,292.6,2,13,0.05,292.6,0.0,21
EX110,Example QB2,T02,QB,399.8,1,6,0.05,399.8,0.0,22
EX059,Example WR11,T11,WR,299.0,2,5,0.1,299.0,0.0,23
EX010,Example RB10,T10,RB,289.8,2,14,0.075,289.8,0.0,24
EX060,Example WR12,T12,WR,296.4,2,6,0.125,296.4,0.0,25
EX011,Example RB11,T11,RB,287.0,2,5,0.1,287.0,0.0,26
EX134,Example TE2,T02,TE,241.8,1,6,0.05,241.8,0.0,27
EX061,Example WR13,T13,WR,293.8,3,7,0.15,293.8,0.0,28
EX012,Example RB12,T12,RB,284.2,2,6,0.125,284.2,0.0,29
